ip,country,country_code,city,region_name,lat,lon,isp,org,as_raw,asname,hosting,proxy,mobile
14.17.101.99,China,CN,Guangzhou,Guangdong,23.1317,113.266,Chinanet,Chinanet GD,AS4134 CHINANET-BACKBONE,CHINANET-BACKBONE,f,f,f
14.17.107.52,China,CN,Guangzhou,Guangdong,23.1317,113.266,Chinanet,Chinanet GD,AS4134 CHINANET-BACKBONE,CHINANET-BACKBONE,f,f,f
14.17.107.53,China,CN,Guangzhou,Guangdong,23.1317,113.266,Chinanet,Chinanet GD,AS4134 CHINANET-BACKBONE,CHINANET-BACKBONE,f,f,f
14.17.107.55,China,CN,Guangzhou,Guangdong,23.1317,113.266,Chinanet,Chinanet GD,AS4134 CHINANET-BACKBONE,CHINANET-BACKBONE,f,f,f
14.18.247.59,China,CN,Guangzhou,Guangdong,23.1317,113.266,Chinanet,Chinanet GD,AS4134 CHINANET-BACKBONE,CHINANET-BACKBONE,f,f,f
183.60.174.134,China,CN,Guangzhou,Guangdong,23.1317,113.266,Chinanet,Chinanet GD,AS4134 CHINANET-BACKBONE,CHINANET-BACKBONE,f,f,f
183.60.174.144,China,CN,Guangzhou,Guangdong,23.1317,113.266,Chinanet,Chinanet GD,AS4134 CHINANET-BACKBONE,CHINANET-BACKBONE,f,f,f
183.60.174.145,China,CN,Guangzhou,Guangdong,23.1317,113.266,Chinanet,Chinanet GD,AS4134 CHINANET-BACKBONE,CHINANET-BACKBONE,f,f,f
183.60.174.146,China,CN,Guangzhou,Guangdong,23.1317,113.266,Chinanet,Chinanet GD,AS4134 CHINANET-BACKBONE,CHINANET-BACKBONE,f,f,f
36.189.234.221,China,CN,Guangzhou,Guangdong,23.1317,113.266,China Mobile,China Mobile Communications Corporation,"AS9808 China Mobile Communications Group Co., Ltd.",CHINAMOBILE-CN,f,f,t
36.189.234.235,China,CN,Guangzhou,Guangdong,23.1317,113.266,China Mobile,China Mobile Communications Corporation,"AS9808 China Mobile Communications Group Co., Ltd.",CHINAMOBILE-CN,f,f,t
122.224.147.246,China,CN,Hangzhou,Zhejiang,30.2674,120.171,Chinanet,"",AS58461 CT-HangZhou-IDC,CT-HangZhou-IDC,f,f,f
113.83.154.55,China,CN,Huizhou,Guangdong,23.1115,114.4152,Chinanet,Chinanet GD,AS4134 CHINANET-BACKBONE,CHINANET-BACKBONE,f,f,f
119.167.194.243,China,CN,Jinan,Shandong,36.6518,117.12,CNC Group CHINA169 Shandong Province Network,"",AS4837 CHINA UNICOM China169 Backbone,CHINA169-Backbone,f,f,f
2408:8226:7e02:8790:21b:21ff:fec2:c204,China,CN,Jincheng,Shanxi,35.4963,112.831,CHINA UNICOM China169 Backbone,Chinanet,AS4837 CHINA UNICOM China169 Backbone,CHINA169-Backbone,f,f,f
116.142.250.114,China,CN,Jinrongjie,Beijing,39.9072,116.357,China Unicom CHINA169 Network,China United Network Communications Corporation Limited,AS4837 CHINA UNICOM China169 Backbone,CHINA169-Backbone,f,f,f
110.186.66.250,China,CN,Muping,Sichuan,30.2638,102.805,Chinanet,Chinanet SC,AS4134 CHINANET-BACKBONE,CHINANET-BACKBONE,f,f,f
180.103.181.130,China,CN,Nanjing,Jiangsu,32.0607,118.763,China Telecom,Chinanet JS,AS140292 CHINATELECOM Jiangsu province Suzhou 5G network,CHINATELECOM-JIANGSU-SUZHOU-5G-NETWORK,f,f,f
180.97.68.154,China,CN,Nanjing,Jiangsu,32.0607,118.763,China Telecom,Chinanet JS,AS140292 CHINATELECOM Jiangsu province Suzhou 5G network,CHINATELECOM-JIANGSU-SUZHOU-5G-NETWORK,f,f,f
61.155.145.29,China,CN,Nanjing,Jiangsu,32.0607,118.763,China Telecom,Chinanet JS,AS140292 CHINATELECOM Jiangsu province Suzhou 5G network,CHINATELECOM-JIANGSU-SUZHOU-5G-NETWORK,f,f,f
61.155.145.6,China,CN,Nanjing,Jiangsu,32.0607,118.763,China Telecom,Chinanet JS,AS140292 CHINATELECOM Jiangsu province Suzhou 5G network,CHINATELECOM-JIANGSU-SUZHOU-5G-NETWORK,f,f,f
61.155.145.7,China,CN,Nanjing,Jiangsu,32.0607,118.763,China Telecom,Chinanet JS,AS140292 CHINATELECOM Jiangsu province Suzhou 5G network,CHINATELECOM-JIANGSU-SUZHOU-5G-NETWORK,f,f,f
183.129.161.12,China,CN,Nanshi,Zhejiang,29.1455,120.237,Chinanet,"",AS58461 CT-HangZhou-IDC,CT-HangZhou-IDC,f,f,f
122.246.21.187,China,CN,Ningbo,Zhejiang,29.9302,121.561,China Telecom,"","AS136188 NINGBO, ZHEJIANG Province, P.R.China.",CHINATELECOM-ZHEJIANG-NINGBO-IDC,f,f,f
122.246.21.189,China,CN,Ningbo,Zhejiang,29.9302,121.561,China Telecom,"","AS136188 NINGBO, ZHEJIANG Province, P.R.China.",CHINATELECOM-ZHEJIANG-NINGBO-IDC,f,f,f
47.104.225.153,China,CN,Qingdao,Shandong,36.061,120.3814,Hangzhou Alibaba Advertising Co,"Aliyun Computing Co., LTD","AS37963 Hangzhou Alibaba Advertising Co.,Ltd.",ALIBABA-CN-NET,t,f,f
101.228.105.41,China,CN,Shanghai,Shanghai,31.2222,121.4581,China Telecom (Group),Chinanet SH,AS4812 China Telecom (Group),CHINANET-SH-AP,f,f,f
113.219.198.22,China,CN,Shanghai,Shanghai,31.2222,121.4581,"No.293, Wanbao Avenue",Chinanet HN,AS63835 CT-HuNan-Changsha-IDC,CT-HuNan-Changsha-IDC,f,f,f
113.219.198.28,China,CN,Shanghai,Shanghai,31.2222,121.4581,"No.293, Wanbao Avenue",Chinanet HN,AS63835 CT-HuNan-Changsha-IDC,CT-HuNan-Changsha-IDC,f,f,f
113.219.198.5,China,CN,Shanghai,Shanghai,31.2222,121.4581,"No.293, Wanbao Avenue",Chinanet HN,AS63835 CT-HuNan-Changsha-IDC,CT-HuNan-Changsha-IDC,f,f,f
113.219.198.6,China,CN,Shanghai,Shanghai,31.2222,121.4581,"No.293, Wanbao Avenue",Chinanet HN,AS63835 CT-HuNan-Changsha-IDC,CT-HuNan-Changsha-IDC,f,f,f
59.37.81.243,China,CN,Shanghai,Shanghai,31.2222,121.4581,Chinanet,Chinanet GD,AS4134 CHINANET-BACKBONE,CHINANET-BACKBONE,f,f,f
59.37.81.245,China,CN,Shanghai,Shanghai,31.2222,121.4581,Chinanet,Chinanet GD,AS4134 CHINANET-BACKBONE,CHINANET-BACKBONE,f,f,f
14.155.221.241,China,CN,Shenzhen,Guangdong,22.5455,114.0683,Chinanet,Chinanet GD,AS4134 CHINANET-BACKBONE,CHINANET-BACKBONE,f,f,f
183.11.237.59,China,CN,Shenzhen,Guangdong,22.5455,114.0683,Chinanet,Chinanet GD,AS4134 CHINANET-BACKBONE,CHINANET-BACKBONE,f,f,f
183.14.30.82,China,CN,Shenzhen,Guangdong,22.5455,114.0683,Chinanet,Chinanet GD,AS4134 CHINANET-BACKBONE,CHINANET-BACKBONE,f,f,f
113.24.193.2,China,CN,Taiyuan,Shanxi,37.8389,112.564,Chinanet,Sxczbas,AS4134 CHINANET-BACKBONE,CHINANET-BACKBONE,f,f,f
124.88.124.147,China,CN,Ürümqi,Xinjiang,43.8006,87.6012,CNC Group CHINA169 Xinjiang Province Network,"",AS4837 CHINA UNICOM China169 Backbone,CHINA169-Backbone,f,f,f
113.132.177.236,China,CN,Xi'an,Shaanxi,34.2635,108.9246,Chinanet,Chinanet SN,AS4134 CHINANET-BACKBONE,CHINANET-BACKBONE,f,f,f
113.200.98.50,China,CN,Xi'an,Shaanxi,34.2635,108.9246,CNC Group CHINA169 Shannxi Province Network,"",AS4837 CHINA UNICOM China169 Backbone,CHINA169-Backbone,f,f,f
120.71.76.122,China,CN,Xingfulu,Xinjiang,43.7934,87.6271,Chinanet,Chinanet XJ,AS4134 CHINANET-BACKBONE,CHINANET-BACKBONE,f,f,f
123.151.192.62,China,CN,Youyilu,Tianjin,39.0851,117.199,China Telecom Tianjin network,"",AS17638 ASN for TIANJIN Provincial Net of CT,CHINATELECOM-TJ-AS-AP,f,f,f
182.18.83.106,China,CN,Zhangjiakou,Hebei,40.2962,115.822,China Telecom,"Huailai Cloud Exchange Network Technology Co., Ltd",AS141771 China Telecom,CHINANET-HEBEI-ZHANGJIAKOU-MAN,f,f,f
37.27.238.36,Finland,FI,Helsinki,Uusimaa,60.1719,24.9347,Hetzner Online GmbH,Hetzner Online GmbH,AS24940 Hetzner Online GmbH,HETZNER-AS,t,f,f
65.109.147.178,Finland,FI,Helsinki,Uusimaa,60.1719,24.9347,Hetzner Online GmbH,Hetzner Online GmbH,AS24940 Hetzner Online GmbH,HETZNER-AS,t,f,f
65.21.124.221,Finland,FI,Helsinki,Uusimaa,60.1719,24.9347,Hetzner Online GmbH,Hetzner,AS24940 Hetzner Online GmbH,HETZNER-AS,t,f,f
188.165.77.211,France,FR,Gravelines,Hauts-de-France,50.9871,2.12554,OVH SAS,OVH,AS16276 OVH SAS,OVH,t,f,f
62.171.188.221,France,FR,Lauterbourg,Grand Est,48.9742,8.1851,Contabo GmbH,Contabo GmbH,AS51167 Contabo GmbH,CONTABO,t,f,f
212.106.124.229,France,FR,Paris,Île-de-France,48.8558,2.3494,Celeste SAS,CELESTE,AS34177 CELESTE SAS,CELESTE-AS,f,f,f
212.106.124.245,France,FR,Paris,Île-de-France,48.8558,2.3494,Celeste SAS,CELESTE,AS34177 CELESTE SAS,CELESTE-AS,f,f,f
80.11.137.92,France,FR,Verdun,Grand Est,49.1596,5.3829,France Telecom,"",AS3215 Orange S.A.,AS3215,f,f,f
57.128.92.30,France,FR,Wattrelos,Hauts-de-France,50.7012,3.21501,OVH SAS,OVH,AS16276 OVH SAS,OVH,t,f,f
141.76.94.16,Germany,DE,Dresden,Saxony,51.0295,13.6997,Verein zur Foerderung eines Deutschen Forschungsnetzes e.V.,TUD Netd Measurement,AS680 Verein zur Foerderung eines Deutschen Forschungsnetzes e.V.,DFN,f,f,f
116.202.108.0,Germany,DE,Falkenstein,Saxony,50.4777,12.3649,Hetzner Online GmbH,Hetzner Online GmbH,AS24940 Hetzner Online GmbH,HETZNER-AS,t,f,f
23.88.3.90,Germany,DE,Falkenstein,Saxony,50.4777,12.3649,Hetzner Online GmbH,Hetzner,AS24940 Hetzner Online GmbH,HETZNER-AS,t,f,f
2a01:4f8:c010:17fa::3,Germany,DE,Falkenstein,Saxony,50.4777,12.3649,Hetzner Online GmbH,Hetzner Online GmbH,AS24940 Hetzner Online GmbH,HETZNER-AS,t,f,f
46.4.123.21,Germany,DE,Falkenstein,Saxony,50.4777,12.3649,Hetzner Online GmbH,Hetzner,AS24940 Hetzner Online GmbH,HETZNER-AS,t,f,f
88.198.6.254,Germany,DE,Falkenstein,Saxony,50.4777,12.3649,Hetzner Online GmbH,Hetzner,AS24940 Hetzner Online GmbH,HETZNER-AS,t,f,f
207.154.200.131,Germany,DE,Frankfurt am Main,Hesse,50.1169,8.6837,"DigitalOcean, LLC","DigitalOcean, LLC","AS14061 DigitalOcean, LLC",DIGITALOCEAN-ASN,t,f,f
212.95.39.97,Germany,DE,Frankfurt am Main,Hesse,50.1109,8.68213,Leaseweb Deutschland GmbH,Leaseweb Deutschland GmbH,AS28753 Leaseweb Deutschland GmbH,LEASEWEB-DE-FRA-10,t,f,f
31.172.68.77,Germany,DE,Frankfurt am Main,Hesse,50.1169,8.6837,Fornex Hosting S.L.,FORNEX,AS44051 Fornex Hosting S.L.,FORNEX-AS,f,f,f
64.226.95.214,Germany,DE,Frankfurt am Main,Hesse,50.1169,8.6837,"DigitalOcean, LLC","DigitalOcean, LLC","AS14061 DigitalOcean, LLC",DIGITALOCEAN-ASN,t,f,f
2a03:4000:5f:db1:e8ad:1cff:fef2:cfe2,Germany,DE,Nuremberg,Bavaria,49.4423,11.0191,netcup GmbH,NETCUP-GMBH,AS197540 netcup GmbH,netcup-AS,t,f,f
194.45.196.180,Germany,DE,Waldbrunn,Bavaria,49.7581,9.80693,Michael Sebastian Schinzel trading as IP-Projects GmbH & Co. KG,IP-Projects Verwaltungs GmbH,AS48314 Michael Sebastian Schinzel trading as IP-Projects GmbH & Co. KG,IP-PROJECTS,f,f,f
194.45.36.154,Germany,DE,Waldbrunn,Bavaria,49.7582,9.8069,IP- www.ip-projects.de,IP-Projects GmbH & Co.,AS48314 Michael Sebastian Schinzel trading as IP-Projects GmbH & Co. KG,IP-PROJECTS,f,f,f
210.209.77.162,Hong Kong,HK,Central,Central and Western District,22.283,114.158,NWT,"",AS10103 HK Broadband Network Ltd.,HKBN-AS-AP,f,f,f
210.209.77.163,Hong Kong,HK,Central,Central and Western District,22.283,114.158,NWT,"",AS10103 HK Broadband Network Ltd.,HKBN-AS-AP,f,f,f
210.209.77.164,Hong Kong,HK,Central,Central and Western District,22.283,114.158,NWT,"",AS10103 HK Broadband Network Ltd.,HKBN-AS-AP,f,f,f
103.122.95.143,Hong Kong,HK,Ha Kwai Chung,Kwai Tsing,22.3549,114.125,Teleglobal Communication Services Limited,Menlo Robot Limited,AS133073 TELEGLOBAL COMMUNICATION SERVICES LIMITED,SZKF-AS-AP,f,f,f
103.145.73.134,Hong Kong,HK,Hong Kong,Kowloon,22.3193,114.169,Kaopu Cloud HK Limited,Kaopu Cloud Inc,AS138915 Kaopu Cloud HK Limited,KAOPU-HK,f,f,f
103.145.73.19,Hong Kong,HK,Hong Kong,Kowloon,22.3193,114.169,Kaopu Cloud HK Limited,Kaopu Cloud Inc,AS138915 Kaopu Cloud HK Limited,KAOPU-HK,f,f,f
103.145.73.21,Hong Kong,HK,Hong Kong,Kowloon,22.3193,114.169,Kaopu Cloud HK Limited,Kaopu Cloud Inc,AS138915 Kaopu Cloud HK Limited,KAOPU-HK,f,f,f
103.145.73.24,Hong Kong,HK,Hong Kong,Kowloon,22.3193,114.169,Kaopu Cloud HK Limited,Kaopu Cloud Inc,AS138915 Kaopu Cloud HK Limited,KAOPU-HK,f,f,f
103.201.24.44,Hong Kong,HK,Hong Kong,Kowloon,22.3193,114.169,HK Kwaifong Group Limited,D.D.S TRADING LIMITED,AS133115 HK Kwaifong Group Limited,HKKFGL-AS-AP,t,f,f
154.201.1.144,Hong Kong,HK,Hong Kong,Kowloon,22.3193,114.169,Suzhou Shuizhiyun Network Technology Co,"Suzhou Shuizhiyun Network Technology Co., Ltd.",AS21859 Zenlayer Inc,ZEN-ECN,t,f,f
154.206.64.2,Hong Kong,HK,Hong Kong,Kowloon,22.3193,114.169,Kaopu Cloud HK Limited,Kaopu Cloud HK Limited,AS138915 Kaopu Cloud HK Limited,KAOPU-HK,f,f,f
154.206.64.4,Hong Kong,HK,Hong Kong,Kowloon,22.3193,114.169,Kaopu Cloud HK Limited,Kaopu Cloud HK Limited,AS138915 Kaopu Cloud HK Limited,KAOPU-HK,f,f,f
154.206.64.5,Hong Kong,HK,Hong Kong,Kowloon,22.3193,114.169,Kaopu Cloud HK Limited,Kaopu Cloud HK Limited,AS138915 Kaopu Cloud HK Limited,KAOPU-HK,f,f,f
154.36.162.226,Hong Kong,HK,Hong Kong,Kowloon,22.3193,114.169,NetLab Global,NetLab Global,AS979 NetLab Global,NETLAB-SDN,f,f,f
165.154.46.172,Hong Kong,HK,Hong Kong,Kowloon,22.3193,114.169,UCLOUD INFORMATION TECHNOLOGY (HK) LIMITED,Ucloud Information Technology (hk) Limited,AS135377 UCLOUD INFORMATION TECHNOLOGY (HK) LIMITED,UCLOUD-HK-AS-AP,t,f,f
23.148.24.50,Hong Kong,HK,Hong Kong,Kowloon,22.3193,114.169,Liberally Network LLC,Radishcloud Technology LLC,AS152918 Liberally Network LLC,LNL-AS-AP,f,f,f
39.109.70.73,Hong Kong,HK,Hong Kong,Kowloon,22.3193,114.169,Union FU WAH Digital Technology Limited,Hong Kong Bridge Info-tech Limited,AS149175 UNION FU WAH DIGITAL TECHNOLOGY LIMITED,UFWDTL-AS-AP,f,f,f
203.176.227.188,Hong Kong,HK,Kowloon Bay,Kwun Tong,22.3215,114.211,NWT,"",AS10103 HK Broadband Network Ltd.,HKBN-AS-AP,f,f,f
210.245.153.20,Hong Kong,HK,Kowloon Bay,Kwun Tong,22.3215,114.211,NWT,"",AS10103 HK Broadband Network Ltd.,HKBN-AS-AP,f,f,f
210.245.153.25,Hong Kong,HK,Kowloon Bay,Kwun Tong,22.3215,114.211,NWT,"",AS10103 HK Broadband Network Ltd.,HKBN-AS-AP,f,f,f
183.178.93.65,Hong Kong,HK,Kwai Chung,Kwai Tsing,22.3702,114.13,Hong Kong Broadband Network Ltd,Hong Kong Broadband Network Limited,AS9269 Hong Kong Broadband Network Ltd.,HKBN-AS-AP,f,f,f
202.65.194.210,Hong Kong,HK,Kwun Tong,Kwun Tong,22.3139,114.22,Diyixian.com Limited,Diyixian.com Limited,AS9584 Diyixian.com Limited,GENESIS-AP,f,f,f
38.135.29.253,Hong Kong,HK,Kwun Tong,Kwun Tong,22.3103,114.2227,Global Communication Network Limited,Global Communication Network Limited,AS152179 GLOBAL COMMUNICATION NETWORK LIMITED,GCNL-AS-AP,f,f,f
39.109.125.172,Hong Kong,HK,Ngau Tau Kok,Kwun Tong,22.3152,114.217,Union FU WAH Digital Technology Limited,XUN HONG KONG LIMITED,AS149175 UNION FU WAH DIGITAL TECHNOLOGY LIMITED,UFWDTL-AS-AP,f,f,f
39.109.125.174,Hong Kong,HK,Ngau Tau Kok,Kwun Tong,22.3152,114.217,Union FU WAH Digital Technology Limited,XUN HONG KONG LIMITED,AS149175 UNION FU WAH DIGITAL TECHNOLOGY LIMITED,UFWDTL-AS-AP,f,f,f
39.109.125.175,Hong Kong,HK,Ngau Tau Kok,Kwun Tong,22.3152,114.217,Union FU WAH Digital Technology Limited,XUN HONG KONG LIMITED,AS149175 UNION FU WAH DIGITAL TECHNOLOGY LIMITED,UFWDTL-AS-AP,f,f,f
39.109.125.189,Hong Kong,HK,Ngau Tau Kok,Kwun Tong,22.3152,114.217,Union FU WAH Digital Technology Limited,XUN HONG KONG LIMITED,AS149175 UNION FU WAH DIGITAL TECHNOLOGY LIMITED,UFWDTL-AS-AP,f,f,f
39.109.125.190,Hong Kong,HK,Ngau Tau Kok,Kwun Tong,22.3152,114.217,Union FU WAH Digital Technology Limited,XUN HONG KONG LIMITED,AS149175 UNION FU WAH DIGITAL TECHNOLOGY LIMITED,UFWDTL-AS-AP,f,f,f
103.214.65.32,Hong Kong,HK,Tsim Sha Tsui,Kowloon City,22.2995,114.168,China Unicom (Hong Kong) Operations Limited,China Unicom (Hong Kong) Operations Limited,AS10099 China Unicom Global,UNICOM-Global,f,f,f
162.219.87.192,Hong Kong,HK,Tsim Sha Tsui,Kowloon City,22.3,114.1667,China Unicom (Hong Kong) Operations Limited,China Unicom Global IP Servcies,AS10099 China Unicom Global,UNICOM-Global,f,f,f
202.77.20.251,Hong Kong,HK,Tsim Sha Tsui,Kowloon City,22.2995,114.168,China Unicom Global,"",AS10099 China Unicom Global,UNICOM-Global,f,f,f
202.77.20.254,Hong Kong,HK,Tsim Sha Tsui,Kowloon City,22.2995,114.168,China Unicom Global,"",AS10099 China Unicom Global,UNICOM-Global,f,f,f
116.92.243.3,Hong Kong,HK,Tsuen Wan,Tsuen Wan District,22.3638,114.1091,HKBN Enterprise Solutions HK Limited,HKBN Enterprise Solutions HK Limited,AS9381 HKBN Enterprise Solutions HK Limited,HKBNES-AS-AP,f,f,f
116.92.243.4,Hong Kong,HK,Tsuen Wan,Tsuen Wan District,22.3638,114.1091,HKBN Enterprise Solutions HK Limited,HKBN Enterprise Solutions HK Limited,AS9381 HKBN Enterprise Solutions HK Limited,HKBNES-AS-AP,f,f,f
116.92.243.5,Hong Kong,HK,Tsuen Wan,Tsuen Wan District,22.3638,114.1091,HKBN Enterprise Solutions HK Limited,HKBN Enterprise Solutions HK Limited,AS9381 HKBN Enterprise Solutions HK Limited,HKBNES-AS-AP,f,f,f
2400:6180:100:d0::94a:5001,India,IN,Bengaluru,Karnataka,12.9753,77.591,"DigitalOcean, LLC",Digital Ocean,"AS14061 DigitalOcean, LLC",DIGITALOCEAN-ASN,t,f,f
148.113.16.168,India,IN,Mumbai,Maharashtra,19.0748,72.8856,OVH SAS,OVHTECH R&D (INDIA) PRIVATE LIMITED,AS16276 OVH SAS,OVH,t,f,f
103.100.158.191,Japan,JP,Chiyoda City,Tokyo,35.694,139.754,Rainbow Network Limited,Google LLC,AS51847 Nearoute Limited,NEAROUTE,f,f,f
183.81.177.196,Japan,JP,Chiyoda City,Tokyo,35.6916,139.768,DOVA Corporation,DOVA Corporation,AS45680 DOVA Corporation,DOVA-NET,f,f,f
42.125.245.71,Japan,JP,Chiyoda City,Tokyo,35.6916,139.768,TOKAI Communications Corporation,TOKAI,AS10010 TOKAI Communications Corporation,TOKAI,f,f,f
64.176.58.245,Japan,JP,Osaka,Osaka,34.6834,135.5258,"The Constant Company, LLC","The Constant Company, LLC","AS20473 The Constant Company, LLC",AS-VULTR,t,f,f
207.176.112.42,Japan,JP,Tokyo,Tokyo,35.7081,139.743,PCCW Global,263 Global,AS31713 Gateway Communications,GWCOMMS-MPLS,f,f,f
57.182.91.173,Japan,JP,Tokyo,Tokyo,35.6895,139.692,"Amazon.com, Inc.",AWS EC2 (ap-northeast-1),"AS16509 Amazon.com, Inc.",AMAZON-02,t,f,f
221.241.179.83,Japan,JP,Toyosu,Tokyo,35.6289,139.7915,ARTERIA Networks Corporation,Vectant,AS17506 ARTERIA Networks Corporation,usen,f,f,f
217.28.56.152,Latvia,LV,Riga,Rīga,56.9473,24.0979,RETN Limited,Clnt56,AS28886 RETN Limited,RETN-LV,f,f,f
80.232.244.29,Latvia,LV,Riga,Rīga,56.9473,24.0979,LATTELEKOM,Bridge Group,AS12578 SIA Tet,APOLLO-AS,f,f,f
202.184.250.176,Malaysia,MY,Shah Alam,Selangor,3.08452,101.485,TT DOTCOM SDN BHD,TT DOTCOM SDN BHD,AS9930 TTNET-MY,TTNET-MY,f,f,f
202.184.250.182,Malaysia,MY,Shah Alam,Selangor,3.08452,101.485,TT DOTCOM SDN BHD,TT DOTCOM SDN BHD,AS9930 TTNET-MY,TTNET-MY,f,f,f
31.169.51.133,Norway,NO,Oslo,Oslo County,59.9139,10.7522,Blix Solutions,Portlane AB,AS50304 Blix Solutions AS,BLIX,t,f,f
195.26.70.151,Norway,NO,Sandefjord,Vestfold,59.1313,10.2166,Aremark EDB,"",AS202311 Noki Eiendom AS,AEDB-AS-01,f,f,f
195.26.70.152,Norway,NO,Sandefjord,Vestfold,59.1313,10.2166,Aremark EDB,"",AS202311 Noki Eiendom AS,AEDB-AS-01,f,f,f
195.26.70.153,Norway,NO,Sandefjord,Vestfold,59.1313,10.2166,Aremark EDB,"",AS202311 Noki Eiendom AS,AEDB-AS-01,f,f,f
109.247.200.138,Norway,NO,Sola,Rogaland,58.8858,5.6623,Lyse Tele AS,Altibox,AS29695 Altibox AS,Altibox_AS,f,f,f
